frame_idx,timestamp_s,track_id,range_m,range_rate_m_s,confirmed
214,0.4138,5,0.7500,0.0000,1
215,0.4144,5,0.7500,0.0000,1
216,0.4149,5,0.7500,0.0000,1
217,0.4154,5,0.7500,0.0000,1
218,0.4160,5,0.7500,0.0000,1
501,1.0874,8,0.7500,0.0000,1
502,1.0884,8,0.7500,0.0000,1
503,1.0893,8,0.7500,0.0000,1
504,1.0902,8,0.7500,0.0000,1
505,1.0940,8,0.7500,0.0000,1
587,1.2596,10,0.4500,0.0000,1
588,1.2613,10,0.4500,0.0000,1
589,1.2629,10,0.4500,0.0000,1
590,1.2645,10,0.4500,0.0000,1
591,1.2672,10,0.4500,0.0000,1
592,1.2699,10,0.4500,0.0000,1
625,1.3358,11,0.3373,-0.0048,1
626,1.3363,11,0.3373,-0.0048,1
627,1.3367,11,0.3373,-0.0048,1
628,1.3372,11,0.3373,-0.0048,1
629,1.3419,11,0.3373,-0.0048,1
654,1.3952,12,0.3000,0.0000,1
655,1.3957,12,0.3000,0.0000,1
656,1.3962,12,0.3000,0.0000,1
657,1.3966,12,0.3000,0.0000,1
658,1.3971,12,0.3000,0.0000,1
1900,3.9986,14,0.9000,0.0000,1
1901,4.0023,14,0.9000,0.0000,1
1902,4.0061,14,0.9000,0.0000,1
1903,4.0099,14,0.9000,0.0000,1
1904,4.0136,14,0.9000,0.0000,1
1905,4.0142,14,0.9000,0.0000,1
1906,4.0148,14,0.9000,0.0000,1
1907,4.0155,14,0.9000,0.0000,1
1908,4.0161,14,0.9000,0.0000,1
1909,4.0183,14,0.9000,0.0000,1
1910,4.0206,14,0.9000,0.0000,1
1911,4.0229,14,0.9000,0.0000,1
1912,4.0251,14,0.9000,0.0000,1
4570,9.5969,24,0.6000,0.0000,1
4571,9.6017,24,0.6000,0.0000,1
4572,9.6065,24,0.6000,0.0000,1
4573,9.6113,24,0.6000,0.0000,1
4574,9.6161,24,0.6000,0.0000,1
4575,9.6167,24,0.6000,0.0000,1
4576,9.6172,24,0.6000,0.0000,1
4577,9.6177,24,0.6000,0.0000,1
4578,9.6183,24,0.6000,0.0000,1
4579,9.6198,24,0.6000,0.0000,1
4580,9.6213,24,0.6000,0.0000,1
4581,9.6228,24,0.6000,0.0000,1
4793,10.1097,25,0.6207,-0.0473,1
4794,10.1140,25,0.6207,-0.0473,1
4795,10.1145,25,0.6207,-0.0473,1
4796,10.1150,25,0.6207,-0.0473,1
4797,10.1156,25,0.6207,-0.0473,1
4798,10.1161,25,0.6207,-0.0473,1
4799,10.1182,25,0.6207,-0.0473,1
4800,10.1202,25,0.6207,-0.0473,1
4801,10.1223,25,0.6207,-0.0473,1
4802,10.1243,25,0.6207,-0.0473,1
4803,10.1267,25,0.6207,-0.0473,1
4804,10.1291,25,0.6207,-0.0473,1
4805,10.1315,25,0.6207,-0.0473,1
4806,10.1338,25,0.6207,-0.0473,1
4807,10.1364,25,0.6207,-0.0473,1
4808,10.1389,25,0.6207,-0.0473,1
4809,10.1415,25,0.6207,-0.0473,1
4810,10.1440,25,0.6207,-0.0473,1
4811,10.1445,25,0.6207,-0.0473,1
4812,10.1450,25,0.6207,-0.0473,1
4813,10.1455,25,0.6207,-0.0473,1
4814,10.1460,25,0.6207,-0.0473,1
4815,10.1480,25,0.6207,-0.0473,1
4816,10.1499,25,0.6207,-0.0473,1
4817,10.1519,25,0.6207,-0.0473,1
4818,10.1538,25,0.6207,-0.0473,1
4819,10.1566,25,0.6207,-0.0473,1
4820,10.1593,25,0.6207,-0.0473,1
4821,10.1620,25,0.6207,-0.0473,1
4822,10.1648,25,0.6207,-0.0473,1
4823,10.1671,25,0.6207,-0.0473,1
4824,10.1695,25,0.6207,-0.0473,1
4825,10.1719,25,0.6207,-0.0473,1
4826,10.1743,25,0.6207,-0.0473,1
4827,10.1751,25,0.6207,-0.0473,1
4828,10.1759,25,0.6207,-0.0473,1
4829,10.1780,25,0.6207,-0.0473,1
4874,10.2693,26,0.5573,0.0056,1
4875,10.2718,26,0.5573,0.0056,1
4876,10.2742,26,0.5573,0.0056,1
4877,10.2750,26,0.5573,0.0056,1
4878,10.2758,26,0.5573,0.0056,1
4879,10.2779,26,0.5573,0.0056,1
4880,10.2801,26,0.5573,0.0056,1
4881,10.2823,26,0.5573,0.0056,1
4925,10.3717,27,0.5496,-0.0106,1
4926,10.3742,27,0.5496,-0.0106,1
4927,10.3749,27,0.5496,-0.0106,1
4928,10.3757,27,0.5496,-0.0106,1
4929,10.3777,27,0.5496,-0.0106,1
4930,10.3797,27,0.5496,-0.0106,1
4931,10.3817,27,0.5496,-0.0106,1
4932,10.3837,27,0.5496,-0.0106,1
4933,10.3890,27,0.5496,-0.0106,1
4934,10.3942,27,0.5496,-0.0106,1
4935,10.3995,27,0.5496,-0.0106,1
4936,10.4047,27,0.5496,-0.0106,1
4937,10.4053,27,0.5496,-0.0106,1
4938,10.4058,27,0.5496,-0.0106,1
5327,11.2593,30,0.4500,0.0000,1
5328,11.2606,30,0.4500,0.0000,1
5329,11.2619,30,0.4500,0.0000,1
5330,11.2632,30,0.4500,0.0000,1
5331,11.2663,30,0.4500,0.0000,1
5332,11.2694,30,0.4500,0.0000,1
5333,11.2726,30,0.4500,0.0000,1
5334,11.2757,30,0.4500,0.0000,1
5335,11.2765,30,0.4500,0.0000,1
5646,11.9960,33,0.5500,-0.0027,1
5647,11.9965,33,0.5500,-0.0027,1
5648,11.9971,33,0.5500,-0.0027,1
5649,12.0013,33,0.5500,-0.0027,1
5650,12.0055,33,0.5500,-0.0027,1
5651,12.0097,33,0.5500,-0.0027,1
5652,12.0140,33,0.5500,-0.0027,1
5653,12.0145,33,0.5500,-0.0027,1
5654,12.0150,33,0.5500,-0.0027,1
5655,12.0155,33,0.5500,-0.0027,1
5656,12.0161,33,0.5500,-0.0027,1
5657,12.0182,33,0.5500,-0.0027,1
5658,12.0203,33,0.5500,-0.0027,1
5659,12.0224,33,0.5500,-0.0027,1
5660,12.0245,33,0.5500,-0.0027,1
5661,12.0271,33,0.5500,-0.0027,1
5662,12.0297,33,0.5500,-0.0027,1
5663,12.0323,33,0.5500,-0.0027,1
5664,12.0350,33,0.5500,-0.0027,1
5665,12.0355,33,0.5500,-0.0027,1
5666,12.0360,33,0.5500,-0.0027,1
5667,12.0365,33,0.5500,-0.0027,1
5681,12.0682,34,0.6000,0.0000,1
5682,12.0702,34,0.6000,0.0000,1
5683,12.0722,34,0.6000,0.0000,1
5684,12.0742,34,0.6000,0.0000,1
5685,12.0749,34,0.6000,0.0000,1
6122,12.9699,37,0.6615,-0.0273,1
6123,12.9726,37,0.6615,-0.0273,1
6124,12.9753,37,0.6615,-0.0273,1
6125,12.9760,37,0.6615,-0.0273,1
6126,12.9768,37,0.6615,-0.0273,1
6127,12.9786,37,0.6615,-0.0273,1
6128,12.9805,37,0.6615,-0.0273,1
6129,12.9823,37,0.6615,-0.0273,1
6130,12.9842,37,0.6615,-0.0273,1
6131,12.9870,37,0.6615,-0.0273,1
6132,12.9897,37,0.6615,-0.0273,1
6133,12.9925,37,0.6615,-0.0273,1
6134,12.9953,37,0.6615,-0.0273,1
6135,12.9958,37,0.6615,-0.0273,1
6507,13.7560,40,0.5252,0.0070,1
6508,13.7565,40,0.5252,0.0070,1
6509,13.7635,40,0.5252,0.0070,1
6510,13.7706,40,0.5252,0.0070,1
6511,13.7776,40,0.5252,0.0070,1
8534,18.1462,46,0.6303,0.0079,1
8535,18.1467,46,0.6303,0.0079,1
8536,18.1472,46,0.6303,0.0079,1
8537,18.1490,46,0.6303,0.0079,1
8538,18.1509,46,0.6303,0.0079,1
8539,18.1528,46,0.6303,0.0079,1
8540,18.1546,46,0.6303,0.0079,1
8541,18.1570,46,0.6303,0.0079,1
8542,18.1593,46,0.6303,0.0079,1
9195,19.4874,47,0.5399,-0.0046,1
9196,19.4900,47,0.5399,-0.0046,1
9197,19.4926,47,0.5399,-0.0046,1
9198,19.4952,47,0.5399,-0.0046,1
9199,19.4977,47,0.5399,-0.0046,1
9200,19.5001,47,0.5399,-0.0046,1
9201,19.5026,47,0.5399,-0.0046,1
9864,20.9303,54,0.5750,0.0002,1
9865,20.9327,54,0.5750,0.0002,1
9866,20.9351,54,0.5750,0.0002,1
9867,20.9376,54,0.5750,0.0002,1
9868,20.9401,54,0.5750,0.0002,1
9869,20.9426,54,0.5750,0.0002,1
9870,20.9451,54,0.5750,0.0002,1
9871,20.9476,54,0.5750,0.0002,1
9872,20.9502,54,0.5750,0.0002,1
9873,20.9527,54,0.5750,0.0002,1
9874,20.9552,54,0.5750,0.0002,1
9875,20.9557,54,0.5750,0.0002,1
9876,20.9562,54,0.5750,0.0002,1
9984,21.1703,57,0.5103,0.0073,1
9985,21.1727,57,0.5103,0.0073,1
9986,21.1752,57,0.5103,0.0073,1
9987,21.1759,57,0.5103,0.0073,1
9988,21.1767,57,0.5103,0.0073,1
9989,21.1787,57,0.5103,0.0073,1
9990,21.1808,57,0.5103,0.0073,1
9991,21.1828,57,0.5103,0.0073,1
9992,21.1849,57,0.5103,0.0073,1
9993,21.1874,57,0.5103,0.0073,1
9994,21.1900,57,0.5103,0.0073,1
9995,21.1926,57,0.5103,0.0073,1
9996,21.1952,57,0.5103,0.0073,1
9997,21.1977,57,0.5103,0.0073,1
9998,21.2002,57,0.5103,0.0073,1
9999,21.2027,57,0.5103,0.0073,1
10000,21.2052,57,0.5103,0.0073,1
10657,22.6905,60,0.7926,-0.0071,1
10658,22.6916,60,0.7926,-0.0071,1
10659,22.6953,60,0.7926,-0.0071,1
10660,22.6991,60,0.7926,-0.0071,1
10661,22.7028,60,0.7926,-0.0071,1
10662,22.7066,60,0.7926,-0.0071,1
10663,22.7074,60,0.7926,-0.0071,1
10664,22.7083,60,0.7926,-0.0071,1
10665,22.7092,60,0.7926,-0.0071,1
11104,23.6070,63,0.7802,0.0046,1
11105,23.6076,63,0.7802,0.0046,1
11106,23.6082,63,0.7802,0.0046,1
11107,23.6088,63,0.7802,0.0046,1
11108,23.6094,63,0.7802,0.0046,1
11109,23.6099,63,0.7802,0.0046,1
11269,23.9267,66,0.7503,0.0065,1
11270,23.9293,66,0.7503,0.0065,1
11271,23.9319,66,0.7503,0.0065,1
11272,23.9345,66,0.7503,0.0065,1
11273,23.9372,66,0.7503,0.0065,1
11274,23.9399,66,0.7503,0.0065,1
11275,23.9427,66,0.7503,0.0065,1
11276,23.9454,66,0.7503,0.0065,1
11277,23.9459,66,0.7503,0.0065,1
11278,23.9464,66,0.7503,0.0065,1
11292,23.9737,67,0.7067,-0.0150,1
11293,23.9744,67,0.7067,-0.0150,1
11294,23.9751,67,0.7067,-0.0150,1
11295,23.9776,67,0.7067,-0.0150,1
11296,23.9802,67,0.7067,-0.0150,1
11297,23.9827,67,0.7067,-0.0150,1
11298,23.9852,67,0.7067,-0.0150,1
11299,23.9876,67,0.7067,-0.0150,1
11300,23.9899,67,0.7067,-0.0150,1
11301,23.9922,67,0.7067,-0.0150,1
12468,26.4061,75,0.6561,0.0337,1
12469,26.4066,75,0.6561,0.0337,1
12470,26.4071,75,0.6561,0.0337,1
12471,26.4118,75,0.6561,0.0337,1
12472,26.4166,75,0.6561,0.0337,1
12473,26.4214,75,0.6561,0.0337,1
12474,26.4261,75,0.6561,0.0337,1
12475,26.4267,75,0.6561,0.0337,1
12476,26.4272,75,0.6561,0.0337,1
12477,26.4277,75,0.6561,0.0337,1
12478,26.4283,75,0.6561,0.0337,1
12479,26.4288,75,0.6561,0.0337,1
12480,26.4293,75,0.6561,0.0337,1
12481,26.4298,75,0.6561,0.0337,1
12482,26.4304,75,0.6561,0.0337,1
12483,26.4343,75,0.6561,0.0337,1
12484,26.4382,75,0.6561,0.0337,1
12485,26.4421,75,0.6561,0.0337,1
12486,26.4460,75,0.6561,0.0337,1
12487,26.4465,75,0.6561,0.0337,1
12488,26.4470,75,0.6561,0.0337,1
13687,29.1074,82,0.5238,-0.0235,1
13688,29.1079,82,0.5238,-0.0235,1
13689,29.1084,82,0.5238,-0.0235,1
13690,29.1090,82,0.5238,-0.0235,1
13691,29.1095,82,0.5238,-0.0235,1
13692,29.1100,82,0.5238,-0.0235,1
13693,29.1139,82,0.5238,-0.0235,1
13694,29.1178,82,0.5238,-0.0235,1
