frame_idx,timestamp_s,tap_idx,range_m,magnitude,threshold,range_rate_m_s
84,0.842268,10,1.5,84.949944,55.400785,0.3177
422,4.210422,10,1.5,193.652802,187.845768,-0.0411
435,4.344483,10,1.5,221.917755,185.59014,-0.2164
442,4.410366,10,1.5,316.731354,282.464812,-0.1444
450,4.491068,10,1.5,383.271545,306.488987,-0.2723
451,4.50194,10,1.5,375.498962,252.53623,-0.2833
457,4.566818,10,1.5,400.153564,282.96943,-0.231
458,4.574569,10,1.5,400.552032,362.837386,-0.5389
459,4.58834,10,1.5,394.172302,263.86686,-0.1775
460,4.602111,10,1.5,366.181519,184.462552,-0.0538
461,4.615883,10,1.5,340.127777,176.108731,-0.2727
462,4.629654,10,1.5,336.118896,233.145463,-0.1943
463,4.635563,10,1.5,319.12793,248.365519,-0.122
464,4.641472,10,1.5,313.707367,256.099314,-0.1068
465,4.647382,10,1.5,303.915619,242.080096,-0.1992
466,4.653291,10,1.5,301.11618,234.700193,-0.2456
467,4.66734,10,1.5,286.864136,225.519071,-0.2856
468,4.68139,10,1.5,274.027496,256.56232,-0.3664
484,4.83263,10,1.5,267.98996,214.976601,0.3482
485,4.841376,10,1.5,315.989166,194.01797,0.2136
486,4.850122,10,1.5,340.570282,260.198558,0.2567
487,4.859351,10,1.5,372.363678,223.91425,0.1609
488,4.86858,10,1.5,395.79895,248.931724,0.1015
489,4.879133,10,1.5,388.677094,326.548446,0.0669
490,4.889686,10,1.5,392.47171,241.487503,0.0756
491,4.900239,10,1.5,377.305206,272.52035,0.0692
492,4.910792,10,1.5,365.165619,266.163435,0.0442
493,4.92058,10,1.5,340.472717,246.615127,0.0665
494,4.930368,10,1.5,314.722717,198.528774,0.1001
495,4.940156,10,1.5,293.272217,154.58937,0.0333
496,4.949944,10,1.5,266.694305,243.313282,0.2887
497,4.959573,10,1.5,275.154755,180.06054,0.1796
498,4.969201,10,1.5,263.501343,197.055642,0.1198
499,4.979625,10,1.5,245.018097,138.85858,0.1606
500,4.990049,10,1.5,255.135925,166.623522,0.0156
501,5.000473,10,1.5,239.614807,160.503882,0.1367
502,5.010896,10,1.5,223.544388,97.227733,-0.0875
503,5.021162,10,1.5,192.241714,146.084397,0.095
504,5.031427,10,1.5,170.1147,133.25066,0.0364
505,5.041693,10,1.5,137.524536,125.313863,-0.1482
510,5.09333,10,1.5,163.740372,122.744304,-0.5523
511,5.104884,10,1.5,207.105469,163.199561,-0.3357
512,5.116438,10,1.5,257.937836,149.051706,-0.0205
513,5.129027,10,1.5,312.230072,159.500085,-0.0525
514,5.141615,10,1.5,348.611389,181.22822,-0.0053
515,5.154204,10,1.5,374.515686,159.083406,-0.094
516,5.166793,10,1.5,390.012146,163.776869,0.0026
517,5.173528,10,1.5,403.757507,262.795182,-0.1169
518,5.180264,10,1.5,408.101166,159.676806,-0.0071
519,5.188656,10,1.5,400.121887,286.718486,-0.0015
520,5.197049,10,1.5,388.103088,264.941555,-0.0417
521,5.205441,10,1.5,389.026093,280.96357,-0.0665
522,5.213834,10,1.5,369.580811,296.057768,-0.1163
523,5.22335,10,1.5,345.64975,295.468429,-0.1167
524,5.232865,10,1.5,326.972229,305.255136,-0.1062
525,5.24238,10,1.5,303.345947,288.02599,-0.0629
526,5.251896,10,1.5,272.937378,250.500538,-0.1346
527,5.260976,10,1.5,261.576569,259.315322,-0.1004
528,5.270056,10,1.5,249.567383,236.741823,-0.0914
531,5.303286,10,1.5,194.720947,177.958867,-0.0037
534,5.333187,10,1.5,159.95285,150.846002,0.1175
542,5.412047,10,1.5,155.531769,135.680776,-0.0457
543,5.422732,10,1.5,163.72937,139.18358,-0.1809
544,5.433417,10,1.5,175.144089,134.776128,0.0402
545,5.444103,10,1.5,192.651688,180.028286,0.1029
546,5.454787,10,1.5,204.908493,146.233281,0.1079
547,5.459525,10,1.5,208.671326,185.603073,-0.1185
562,5.609274,10,1.5,290.99765,264.201633,-0.0733
566,5.662871,10,1.5,246.275696,227.937347,0.0059
567,5.668005,10,1.5,223.512375,217.343622,-0.0451
568,5.673139,10,1.5,218.240768,165.224695,-0.106
571,5.702015,10,1.5,170.526779,157.18293,-0.4384
594,5.92971,10,1.5,251.824753,249.574812,0.098
611,6.099444,10,1.5,220.140015,174.162415,0.1636
613,6.124295,10,1.5,205.492554,200.099489,0.1478
615,6.147188,10,1.5,177.378372,167.123687,0.1592
620,6.195533,11,1.65,120.536255,106.364085,-0.0865
778,7.748624,12,1.8,355.409302,299.550311,0.0699
780,7.769533,12,1.8,398.586823,395.453345,0.0263
784,7.810904,12,1.8,424.66745,395.646751,0.0357
785,7.821136,12,1.8,454.219177,414.203969,0.0375
785,7.821136,14,2.1,151.655731,122.158765,0.0243
786,7.831367,12,1.8,449.232544,400.411741,0.0559
788,7.848793,12,1.8,488.051544,416.862679,0.013
788,7.848793,14,2.1,149.645065,137.005488,-0.0416
789,7.859058,12,1.8,493.176086,463.538827,0.0493
790,7.869324,12,1.8,484.698547,401.570134,0.0298
791,7.879589,12,1.8,482.307587,423.285859,0.0447
791,7.879589,14,2.1,147.370895,142.739622,0.2191
792,7.889855,12,1.8,464.146545,358.279862,-0.0046
793,7.90037,12,1.8,484.783936,337.623655,0.0283
794,7.910885,12,1.8,450.888397,360.621897,0.0317
795,7.921401,12,1.8,458.927307,383.468963,0.0575
796,7.931916,12,1.8,420.490051,388.255258,0.0209
797,7.940469,12,1.8,430.749878,342.756599,0.0197
797,7.940469,14,2.1,138.569611,122.859164,-0.0341
798,7.949023,12,1.8,407.183319,339.175226,0.0426
799,7.959935,14,2.1,141.288193,109.346405,-0.3237
800,7.970847,12,1.8,378.577393,355.26555,0.0181
