frame_idx,timestamp_s,tap_idx,range_m,magnitude,threshold,range_rate_m_s
384,0.71453,10,1.5,6282.208496,5046.67037,-0.7973
384,0.71453,10,1.5,5459.500977,5232.425676,-0.8505
384,0.71453,10,1.5,3802.707275,3426.981993,0.9568
384,0.71453,10,1.5,3801.179443,3535.33156,1.0099
385,0.717108,10,1.5,6282.208496,5046.67037,-0.7973
385,0.717108,10,1.5,5459.500977,5232.425676,-0.8505
385,0.717108,10,1.5,3802.707275,3426.981993,0.9568
385,0.717108,10,1.5,3801.179443,3535.33156,1.0099
386,0.719686,10,1.5,6282.208496,5046.67037,-0.7973
386,0.719686,10,1.5,5459.500977,5232.425676,-0.8505
386,0.719686,10,1.5,3802.707275,3426.981993,0.9568
386,0.719686,10,1.5,3801.179443,3535.33156,1.0099
387,0.722264,10,1.5,6282.208496,5046.67037,-0.7973
387,0.722264,10,1.5,5459.500977,5232.425676,-0.8505
387,0.722264,10,1.5,3802.707275,3426.981993,0.9568
387,0.722264,10,1.5,3801.179443,3535.33156,1.0099
388,0.724843,10,1.5,6282.208496,5046.67037,-0.7973
388,0.724843,10,1.5,5459.500977,5232.425676,-0.8505
388,0.724843,10,1.5,3802.707275,3426.981993,0.9568
388,0.724843,10,1.5,3801.179443,3535.33156,1.0099
389,0.725433,10,1.5,6282.208496,5046.67037,-0.7973
389,0.725433,10,1.5,5459.500977,5232.425676,-0.8505
389,0.725433,10,1.5,3802.707275,3426.981993,0.9568
389,0.725433,10,1.5,3801.179443,3535.33156,1.0099
390,0.726023,10,1.5,6282.208496,5046.67037,-0.7973
390,0.726023,10,1.5,5459.500977,5232.425676,-0.8505
390,0.726023,10,1.5,3802.707275,3426.981993,0.9568
390,0.726023,10,1.5,3801.179443,3535.33156,1.0099
391,0.726614,10,1.5,6282.208496,5046.67037,-0.7973
391,0.726614,10,1.5,5459.500977,5232.425676,-0.8505
391,0.726614,10,1.5,3802.707275,3426.981993,0.9568
391,0.726614,10,1.5,3801.179443,3535.33156,1.0099
392,0.727205,10,1.5,6282.208496,5046.67037,-0.7973
392,0.727205,10,1.5,5459.500977,5232.425676,-0.8505
392,0.727205,10,1.5,3802.707275,3426.981993,0.9568
392,0.727205,10,1.5,3801.179443,3535.33156,1.0099
393,0.729167,10,1.5,6282.208496,5046.67037,-0.7973
393,0.729167,10,1.5,5459.500977,5232.425676,-0.8505
393,0.729167,10,1.5,3802.707275,3426.981993,0.9568
393,0.729167,10,1.5,3801.179443,3535.33156,1.0099
394,0.73113,10,1.5,6282.208496,5046.67037,-0.7973
394,0.73113,10,1.5,5459.500977,5232.425676,-0.8505
394,0.73113,10,1.5,3802.707275,3426.981993,0.9568
394,0.73113,10,1.5,3801.179443,3535.33156,1.0099
395,0.733093,10,1.5,6282.208496,5046.67037,-0.7973
395,0.733093,10,1.5,5459.500977,5232.425676,-0.8505
395,0.733093,10,1.5,3802.707275,3426.981993,0.9568
395,0.733093,10,1.5,3801.179443,3535.33156,1.0099
396,0.735056,10,1.5,6282.208496,5046.67037,-0.7973
396,0.735056,10,1.5,5459.500977,5232.425676,-0.8505
396,0.735056,10,1.5,3802.707275,3426.981993,0.9568
396,0.735056,10,1.5,3801.179443,3535.33156,1.0099
397,0.735923,10,1.5,6282.208496,5046.67037,-0.7973
397,0.735923,10,1.5,5459.500977,5232.425676,-0.8505
397,0.735923,10,1.5,3802.707275,3426.981993,0.9568
397,0.735923,10,1.5,3801.179443,3535.33156,1.0099
398,0.73679,10,1.5,6282.208496,5046.67037,-0.7973
398,0.73679,10,1.5,5459.500977,5232.425676,-0.8505
398,0.73679,10,1.5,3802.707275,3426.981993,0.9568
398,0.73679,10,1.5,3801.179443,3535.33156,1.0099
399,0.741208,10,1.5,6282.208496,5046.67037,-0.7973
399,0.741208,10,1.5,5459.500977,5232.425676,-0.8505
399,0.741208,10,1.5,3802.707275,3426.981993,0.9568
399,0.741208,10,1.5,3801.179443,3535.33156,1.0099
400,0.745627,10,1.5,6282.208496,5046.67037,-0.7973
400,0.745627,10,1.5,5459.500977,5232.425676,-0.8505
400,0.745627,10,1.5,3802.707275,3426.981993,0.9568
400,0.745627,10,1.5,3801.179443,3535.33156,1.0099
401,0.750046,10,1.5,6282.208496,5046.67037,-0.7973
401,0.750046,10,1.5,5459.500977,5232.425676,-0.8505
401,0.750046,10,1.5,3802.707275,3426.981993,0.9568
401,0.750046,10,1.5,3801.179443,3535.33156,1.0099
402,0.754464,10,1.5,6282.208496,5046.67037,-0.7973
402,0.754464,10,1.5,5459.500977,5232.425676,-0.8505
402,0.754464,10,1.5,3802.707275,3426.981993,0.9568
402,0.754464,10,1.5,3801.179443,3535.33156,1.0099
403,0.755062,10,1.5,6282.208496,5046.67037,-0.7973
403,0.755062,10,1.5,5459.500977,5232.425676,-0.8505
403,0.755062,10,1.5,3802.707275,3426.981993,0.9568
403,0.755062,10,1.5,3801.179443,3535.33156,1.0099
404,0.75566,10,1.5,6282.208496,5046.67037,-0.7973
404,0.75566,10,1.5,5459.500977,5232.425676,-0.8505
404,0.75566,10,1.5,3802.707275,3426.981993,0.9568
404,0.75566,10,1.5,3801.179443,3535.33156,1.0099
405,0.756258,10,1.5,6282.208496,5046.67037,-0.7973
405,0.756258,10,1.5,5459.500977,5232.425676,-0.8505
405,0.756258,10,1.5,3802.707275,3426.981993,0.9568
405,0.756258,10,1.5,3801.179443,3535.33156,1.0099
406,0.756856,10,1.5,6282.208496,5046.67037,-0.7973
406,0.756856,10,1.5,5459.500977,5232.425676,-0.8505
406,0.756856,10,1.5,3802.707275,3426.981993,0.9568
406,0.756856,10,1.5,3801.179443,3535.33156,1.0099
