alg,clutter_mode,pfa,num_ref,num_guard,cluster_gap,merge_tol,nms_sep,max_peaks,multi_pct,multi_frames,total_peaks,peaks_per_frame,median_tap_sep,sep_pass_pct
OS,mti,0.05,6,2,0,1,1,4,37.464825317113295,8654,28266,1.2236893372007447,3,99.98166651388762
OS,mean,0.005,4,1,1,1,0,6,0.0,0,1,4.32919173990216e-05,0,0.0
CA,max_path,0.05,4,2,0,2,2,6,27.10939867526733,6262,26896,1.164379410364085,19,100.0
CA,mti,0.01,4,1,0,2,2,4,0.26840988787393394,62,2557,0.11069743278929824,9,100.0
OS,mti,0.01,6,1,1,0,1,4,1.8312481059786139,423,4959,0.21468461838174813,2,94.1588785046729
CA,mti,0.02,8,1,1,1,2,4,12.80574916663059,2958,11950,0.5173384129183082,2,100.0
GO,mti,0.05,4,2,1,1,2,6,6.303303173297546,1456,8835,0.38248409022035584,2,100.0
CA,mti,0.01,4,1,1,2,0,6,0.26840988787393394,62,2557,0.11069743278929824,9,100.0
CA,mti,0.01,8,2,0,2,2,4,1.5541798346248756,359,7205,0.31191826485995067,3,100.0
OS,max_path,0.01,6,2,0,0,1,6,0.4675527079094333,108,11252,0.48712065457379106,24,100.0
GO,mean,0.02,4,2,0,0,0,4,3.0131174509719036,696,3811,0.16498549720767133,2,57.87965616045845
OS,max_path,0.05,4,1,1,0,2,6,0.01731676695960864,4,1828,0.0791376250054115,34,100.0
CA,mti,0.01,6,2,0,2,1,6,1.5801549850642884,365,7688,0.33282826096367807,3,100.0
CA,mti,0.005,8,1,0,2,2,6,0.3679812978916836,85,3717,0.1609160569721633,3,100.0
CA,mean,0.02,4,1,1,1,0,6,16.6327546647041,3842,15084,0.6530152820468419,2,100.0
CA,mti,0.01,6,1,1,2,0,6,1.0563227845361272,244,6373,0.27589938958396465,10,100.0
GO,mean,0.02,6,2,0,1,1,6,10.30347634096714,2380,9063,0.3923546473873328,2,100.0
OS,max_path,0.01,8,2,0,2,2,6,9.307762240789645,2150,20741,0.897917658773107,4,100.0
CA,max_path,0.05,8,2,1,2,1,4,12.312221308281744,2844,19540,0.8459240659768821,33,100.0
GO,mti,0.005,6,2,0,0,0,6,0.025975150439412963,6,402,0.017403350794406684,2,66.66666666666667
OS,max_path,0.01,6,2,0,1,1,6,0.4675527079094333,108,11252,0.48712065457379106,24,100.0
GO,max_path,0.05,8,2,1,0,1,4,1.1429066193341704,264,7840,0.33940863240832936,33,100.0
CA,max_path,0.005,6,1,0,1,1,4,0.05195030087882593,12,5178,0.22416554829213386,34,100.0
GO,mti,0.005,8,1,0,0,0,6,0.030304342179315123,7,325,0.01406987315468202,2,100.0
CA,max_path,0.05,4,2,0,2,2,4,27.10939867526733,6262,26893,1.164249534611888,19,100.0
OS,mti,0.005,4,2,0,2,0,6,0.0,0,9,0.00038962725659119445,0,0.0
OS,mti,0.01,4,2,0,2,2,4,0.0,0,75,0.0032468938049266204,0,0.0
CA,mean,0.01,6,1,0,2,2,6,1.9308195159963635,446,9864,0.4270314732239491,3,100.0
GO,mti,0.02,8,2,1,0,2,4,5.212346854842201,1204,5365,0.2322611368457509,2,100.0
GO,max_path,0.005,6,1,1,1,2,6,0.0,0,190,0.008225464305814105,0,0.0
OS,mti,0.01,4,1,0,2,0,6,0.0,0,8,0.0003463353391921728,0,0.0
GO,mean,0.05,8,2,0,2,0,6,6.5543962942118705,1514,14966,0.6479068357937573,20,99.81000633312223
CA,max_path,0.005,4,1,1,0,0,6,0.0,0,747,0.032339062297069135,0,0.0
OS,max_path,0.01,4,1,1,1,0,6,0.0,0,4,0.0001731676695960864,0,0.0
OS,mti,0.02,8,2,1,0,0,4,33.02307459197368,7628,25412,1.1001342049439369,3,87.66248072262613
GO,mean,0.005,6,2,0,0,0,4,2.320446772587558,536,2470,0.10693103597558336,2,56.343283582089555
OS,max_path,0.02,4,2,0,2,1,4,0.0,0,936,0.04052123468548422,0,0.0
OS,mti,0.02,6,2,0,0,0,4,12.554656045716264,2900,12897,0.5583358586951817,2,89.85849056603773
CA,mean,0.02,6,2,1,2,2,4,7.190787479977488,1661,16405,0.7102039049309494,3,100.0
OS,max_path,0.02,6,1,0,0,0,4,1.1818693449932898,273,10778,0.46660028572665485,17,100.0
CA,mean,0.02,4,2,1,0,2,6,31.44724879864929,7264,24441,1.058097753149487,2,100.0
OS,mti,0.02,8,2,0,2,1,6,21.065847006363914,4866,22032,0.953807524135244,9,98.68374868374869
CA,mti,0.05,6,1,0,1,1,4,44.564699770552835,10294,32764,1.4184163816615438,12,100.0
GO,max_path,0.01,8,2,1,0,2,6,0.00432919173990216,1,988,0.04277241439023334,36,100.0
OS,max_path,0.01,6,2,1,2,1,6,0.36365210615178145,84,11225,0.48595177280401747,29,100.0
OS,mean,0.02,8,1,1,1,0,6,50.74245638339322,11721,35785,1.549201264123988,3,100.0
CA,mti,0.05,4,1,0,2,1,4,36.19204294558206,8360,29467,1.2756829299969696,19,100.0
CA,mti,0.05,6,1,1,2,0,4,33.41270184856487,7718,28367,1.2280618208580458,21,100.0
CA,mean,0.01,4,2,0,0,0,4,22.239057967877397,5137,16681,0.7221524741330794,2,80.61128820551285
CA,mti,0.005,6,2,1,1,1,6,3.9828564007099874,920,6161,0.26672150309537207,2,100.0
CA,mti,0.005,8,1,0,2,0,4,0.3679812978916836,85,3717,0.1609160569721633,3,100.0
OS,mti,0.02,8,2,0,0,1,6,34.811030780553274,8041,26344,1.140482271959825,3,88.0919080919081
CA,mean,0.05,8,1,1,2,0,4,27.89298238018962,6443,27527,1.1916966102428677,26,99.97315436241611
OS,mean,0.02,6,2,1,2,2,6,7.7102904887657475,1781,17531,0.7589506039222477,3,100.0
GO,mti,0.05,8,2,1,0,0,6,16.779947183860774,3876,14078,0.6094636131434261,2,89.26073926073926
GO,max_path,0.05,6,1,1,0,2,6,1.2035153036928006,278,8374,0.3625265162994069,33,100.0
GO,mean,0.005,8,1,0,1,1,4,0.05627949261872808,13,1687,0.07303346465214944,2,100.0
OS,mti,0.05,6,2,0,0,1,6,40.819948915537466,9429,29465,1.2755963461621715,3,90.0396432111001
CA,mean,0.05,4,2,0,2,0,6,52.270661067578686,12074,37982,1.6443136066496384,17,99.99375312343828
