frame_idx,timestamp_s,tap_idx,range_m,magnitude,threshold,range_rate_m_s
512,1.07184,12,1.8,4449.499023,4232.455961,0.3651
513,1.077602,12,1.8,4449.499023,4232.455961,0.3651
514,1.083364,12,1.8,4449.499023,4232.455961,0.3651
515,1.089125,12,1.8,4449.499023,4232.455961,0.3651
516,1.094887,12,1.8,4449.499023,4232.455961,0.3651
517,1.103006,12,1.8,4449.499023,4232.455961,0.3651
518,1.111124,12,1.8,4449.499023,4232.455961,0.3651
519,1.119243,12,1.8,4449.499023,4232.455961,0.3651
520,1.127362,12,1.8,4449.499023,4232.455961,0.3651
521,1.128469,12,1.8,4449.499023,4232.455961,0.3651
522,1.129577,12,1.8,4449.499023,4232.455961,0.3651
523,1.130685,12,1.8,4449.499023,4232.455961,0.3651
524,1.131793,12,1.8,4449.499023,4232.455961,0.3651
525,1.133825,12,1.8,4449.499023,4232.455961,0.3651
526,1.135858,12,1.8,4449.499023,4232.455961,0.3651
527,1.137891,12,1.8,4449.499023,4232.455961,0.3651
528,1.139923,12,1.8,4449.499023,4232.455961,0.3651
529,1.141226,12,1.8,4449.499023,4232.455961,0.3651
530,1.142528,12,1.8,4449.499023,4232.455961,0.3651
531,1.143831,12,1.8,4449.499023,4232.455961,0.3651
532,1.145133,12,1.8,4449.499023,4232.455961,0.3651
533,1.146032,12,1.8,4449.499023,4232.455961,0.3651
534,1.146931,12,1.8,4449.499023,4232.455961,0.3651
535,1.14783,12,1.8,4449.499023,4232.455961,0.3651
536,1.148729,12,1.8,4449.499023,4232.455961,0.3651
537,1.149569,12,1.8,4449.499023,4232.455961,0.3651
538,1.150409,12,1.8,4449.499023,4232.455961,0.3651
539,1.151249,12,1.8,4449.499023,4232.455961,0.3651
540,1.152089,12,1.8,4449.499023,4232.455961,0.3651
541,1.15295,12,1.8,4449.499023,4232.455961,0.3651
542,1.153811,12,1.8,4449.499023,4232.455961,0.3651
543,1.154671,12,1.8,4449.499023,4232.455961,0.3651
544,1.155532,12,1.8,4449.499023,4232.455961,0.3651
545,1.157105,12,1.8,4449.499023,4232.455961,0.3651
546,1.158679,12,1.8,4449.499023,4232.455961,0.3651
547,1.159972,12,1.8,4449.499023,4232.455961,0.3651
548,1.161265,12,1.8,4449.499023,4232.455961,0.3651
549,1.162559,12,1.8,4449.499023,4232.455961,0.3651
550,1.163852,12,1.8,4449.499023,4232.455961,0.3651
551,1.164623,12,1.8,4449.499023,4232.455961,0.3651
552,1.165395,12,1.8,4449.499023,4232.455961,0.3651
553,1.166166,12,1.8,4449.499023,4232.455961,0.3651
554,1.166937,12,1.8,4449.499023,4232.455961,0.3651
555,1.167732,12,1.8,4449.499023,4232.455961,0.3651
556,1.168526,12,1.8,4449.499023,4232.455961,0.3651
557,1.16932,12,1.8,4449.499023,4232.455961,0.3651
558,1.170114,12,1.8,4449.499023,4232.455961,0.3651
559,1.171093,12,1.8,4449.499023,4232.455961,0.3651
560,1.172071,12,1.8,4449.499023,4232.455961,0.3651
561,1.17305,12,1.8,4449.499023,4232.455961,0.3651
562,1.174028,12,1.8,4449.499023,4232.455961,0.3651
563,1.175449,12,1.8,4449.499023,4232.455961,0.3651
564,1.176869,12,1.8,4449.499023,4232.455961,0.3651
565,1.178289,12,1.8,4449.499023,4232.455961,0.3651
566,1.17971,12,1.8,4449.499023,4232.455961,0.3651
567,1.180838,12,1.8,4449.499023,4232.455961,0.3651
568,1.181967,12,1.8,4449.499023,4232.455961,0.3651
569,1.183095,12,1.8,4449.499023,4232.455961,0.3651
570,1.184223,12,1.8,4449.499023,4232.455961,0.3651
571,1.185191,12,1.8,4449.499023,4232.455961,0.3651
572,1.186159,12,1.8,4449.499023,4232.455961,0.3651
573,1.187127,12,1.8,4449.499023,4232.455961,0.3651
574,1.188095,12,1.8,4449.499023,4232.455961,0.3651
575,1.188888,12,1.8,4449.499023,4232.455961,0.3651
2112,6.002742,10,1.5,3398.155273,2551.429818,-1.8774
2112,6.002742,10,1.5,2807.454102,2771.828818,-2.0339
2113,6.003659,10,1.5,3398.155273,2551.429818,-1.8774
2113,6.003659,10,1.5,2807.454102,2771.828818,-2.0339
2114,6.004575,10,1.5,3398.155273,2551.429818,-1.8774
2114,6.004575,10,1.5,2807.454102,2771.828818,-2.0339
2115,6.005492,10,1.5,3398.155273,2551.429818,-1.8774
2115,6.005492,10,1.5,2807.454102,2771.828818,-2.0339
2116,6.006408,10,1.5,3398.155273,2551.429818,-1.8774
2116,6.006408,10,1.5,2807.454102,2771.828818,-2.0339
2117,6.007409,10,1.5,3398.155273,2551.429818,-1.8774
2117,6.007409,10,1.5,2807.454102,2771.828818,-2.0339
2118,6.008409,10,1.5,3398.155273,2551.429818,-1.8774
2118,6.008409,10,1.5,2807.454102,2771.828818,-2.0339
2119,6.009409,10,1.5,3398.155273,2551.429818,-1.8774
2119,6.009409,10,1.5,2807.454102,2771.828818,-2.0339
2120,6.010409,10,1.5,3398.155273,2551.429818,-1.8774
2120,6.010409,10,1.5,2807.454102,2771.828818,-2.0339
2121,6.01361,10,1.5,3398.155273,2551.429818,-1.8774
2121,6.01361,10,1.5,2807.454102,2771.828818,-2.0339
2122,6.01681,10,1.5,3398.155273,2551.429818,-1.8774
2122,6.01681,10,1.5,2807.454102,2771.828818,-2.0339
2123,6.02001,10,1.5,3398.155273,2551.429818,-1.8774
2123,6.02001,10,1.5,2807.454102,2771.828818,-2.0339
2124,6.023211,10,1.5,3398.155273,2551.429818,-1.8774
2124,6.023211,10,1.5,2807.454102,2771.828818,-2.0339
2125,6.02411,10,1.5,3398.155273,2551.429818,-1.8774
2125,6.02411,10,1.5,2807.454102,2771.828818,-2.0339
2126,6.025008,10,1.5,3398.155273,2551.429818,-1.8774
2126,6.025008,10,1.5,2807.454102,2771.828818,-2.0339
2127,6.025907,10,1.5,3398.155273,2551.429818,-1.8774
2127,6.025907,10,1.5,2807.454102,2771.828818,-2.0339
2128,6.026806,10,1.5,3398.155273,2551.429818,-1.8774
2128,6.026806,10,1.5,2807.454102,2771.828818,-2.0339
2129,6.028408,10,1.5,3398.155273,2551.429818,-1.8774
2129,6.028408,10,1.5,2807.454102,2771.828818,-2.0339
2130,6.03001,10,1.5,3398.155273,2551.429818,-1.8774
2130,6.03001,10,1.5,2807.454102,2771.828818,-2.0339
2131,6.031612,10,1.5,3398.155273,2551.429818,-1.8774
2131,6.031612,10,1.5,2807.454102,2771.828818,-2.0339
2132,6.033214,10,1.5,3398.155273,2551.429818,-1.8774
2132,6.033214,10,1.5,2807.454102,2771.828818,-2.0339
2133,6.035673,10,1.5,3398.155273,2551.429818,-1.8774
2133,6.035673,10,1.5,2807.454102,2771.828818,-2.0339
2134,6.038133,10,1.5,3398.155273,2551.429818,-1.8774
2134,6.038133,10,1.5,2807.454102,2771.828818,-2.0339
2135,6.040593,10,1.5,3398.155273,2551.429818,-1.8774
2135,6.040593,10,1.5,2807.454102,2771.828818,-2.0339
2136,6.043053,10,1.5,3398.155273,2551.429818,-1.8774
2136,6.043053,10,1.5,2807.454102,2771.828818,-2.0339
2137,6.044278,10,1.5,3398.155273,2551.429818,-1.8774
2137,6.044278,10,1.5,2807.454102,2771.828818,-2.0339
2138,6.045504,10,1.5,3398.155273,2551.429818,-1.8774
2138,6.045504,10,1.5,2807.454102,2771.828818,-2.0339
2139,6.04739,10,1.5,3398.155273,2551.429818,-1.8774
2139,6.04739,10,1.5,2807.454102,2771.828818,-2.0339
2140,6.049276,10,1.5,3398.155273,2551.429818,-1.8774
2140,6.049276,10,1.5,2807.454102,2771.828818,-2.0339
2141,6.051163,10,1.5,3398.155273,2551.429818,-1.8774
2141,6.051163,10,1.5,2807.454102,2771.828818,-2.0339
2142,6.053049,10,1.5,3398.155273,2551.429818,-1.8774
2142,6.053049,10,1.5,2807.454102,2771.828818,-2.0339
2143,6.055761,10,1.5,3398.155273,2551.429818,-1.8774
2143,6.055761,10,1.5,2807.454102,2771.828818,-2.0339
2144,6.058474,10,1.5,3398.155273,2551.429818,-1.8774
2144,6.058474,10,1.5,2807.454102,2771.828818,-2.0339
2145,6.061186,10,1.5,3398.155273,2551.429818,-1.8774
2145,6.061186,10,1.5,2807.454102,2771.828818,-2.0339
2146,6.063898,10,1.5,3398.155273,2551.429818,-1.8774
2146,6.063898,10,1.5,2807.454102,2771.828818,-2.0339
2147,6.064768,10,1.5,3398.155273,2551.429818,-1.8774
2147,6.064768,10,1.5,2807.454102,2771.828818,-2.0339
2148,6.065638,10,1.5,3398.155273,2551.429818,-1.8774
2148,6.065638,10,1.5,2807.454102,2771.828818,-2.0339
2149,6.066508,10,1.5,3398.155273,2551.429818,-1.8774
2149,6.066508,10,1.5,2807.454102,2771.828818,-2.0339
2150,6.067377,10,1.5,3398.155273,2551.429818,-1.8774
2150,6.067377,10,1.5,2807.454102,2771.828818,-2.0339
2151,6.06901,10,1.5,3398.155273,2551.429818,-1.8774
2151,6.06901,10,1.5,2807.454102,2771.828818,-2.0339
2152,6.070642,10,1.5,3398.155273,2551.429818,-1.8774
2152,6.070642,10,1.5,2807.454102,2771.828818,-2.0339
2153,6.072274,10,1.5,3398.155273,2551.429818,-1.8774
2153,6.072274,10,1.5,2807.454102,2771.828818,-2.0339
2154,6.073906,10,1.5,3398.155273,2551.429818,-1.8774
2154,6.073906,10,1.5,2807.454102,2771.828818,-2.0339
2155,6.076342,10,1.5,3398.155273,2551.429818,-1.8774
2155,6.076342,10,1.5,2807.454102,2771.828818,-2.0339
2156,6.078779,10,1.5,3398.155273,2551.429818,-1.8774
2156,6.078779,10,1.5,2807.454102,2771.828818,-2.0339
2157,6.081215,10,1.5,3398.155273,2551.429818,-1.8774
2157,6.081215,10,1.5,2807.454102,2771.828818,-2.0339
2158,6.083651,10,1.5,3398.155273,2551.429818,-1.8774
2158,6.083651,10,1.5,2807.454102,2771.828818,-2.0339
2159,6.086162,10,1.5,3398.155273,2551.429818,-1.8774
2159,6.086162,10,1.5,2807.454102,2771.828818,-2.0339
2160,6.088674,10,1.5,3398.155273,2551.429818,-1.8774
2160,6.088674,10,1.5,2807.454102,2771.828818,-2.0339
2161,6.091185,10,1.5,3398.155273,2551.429818,-1.8774
2161,6.091185,10,1.5,2807.454102,2771.828818,-2.0339
2162,6.093696,10,1.5,3398.155273,2551.429818,-1.8774
2162,6.093696,10,1.5,2807.454102,2771.828818,-2.0339
2163,6.094595,10,1.5,3398.155273,2551.429818,-1.8774
2163,6.094595,10,1.5,2807.454102,2771.828818,-2.0339
2164,6.095494,10,1.5,3398.155273,2551.429818,-1.8774
2164,6.095494,10,1.5,2807.454102,2771.828818,-2.0339
