frame_idx,timestamp_s,tap_idx,range_m,magnitude,threshold,range_rate_m_s
43,0.426481,12,1.8,60.185112,56.710854,0.0303
45,0.448309,10,1.5,263.569336,205.352091,0.0181
47,0.464617,10,1.5,242.727707,240.852016,0.0264
51,0.506331,10,1.5,266.103424,226.006541,-0.0176
68,0.674124,11,1.65,93.590584,74.851719,-0.0445
69,0.683991,11,1.65,98.687775,91.807341,0.1658
75,0.743257,10,1.5,94.184097,84.061616,0.004
76,0.753145,10,1.5,101.214737,95.907879,-0.0203
99,0.985742,10,1.5,61.376541,55.955981,-0.1409
489,4.853347,10,1.5,149.551331,130.225885,0.1012
493,4.894573,10,1.5,165.608795,160.548428,0.096
535,5.303042,10,1.5,79.720146,74.098587,-0.1697
536,5.313009,10,1.5,79.007309,75.418168,-0.0246
538,5.333477,10,1.5,86.735733,71.882029,0.0237
545,5.403286,10,1.5,51.239731,45.195819,0.0078
584,5.793862,10,1.5,201.79689,201.278855,0.0114
611,6.065102,11,1.65,54.769432,54.155028,0.21
629,6.232428,11,1.65,171.833771,123.665743,0.8724
633,6.272826,10,1.5,773.826172,646.771708,0.1512
634,6.282791,10,1.5,1016.814575,232.982601,0.1065
635,6.292756,10,1.5,1255.814697,236.098688,0.3348
636,6.302721,11,1.65,182.996506,163.719071,-0.5531
638,6.322217,12,1.8,295.988495,260.216277,0.3156
639,6.33234,10,1.5,880.180298,770.112274,0.4354
639,6.33234,12,1.8,344.3797,182.829182,0.2742
640,6.342463,12,1.8,165.43222,155.875201,0.2056
643,6.372714,12,1.8,323.38385,203.487242,-1.0587
644,6.382718,12,1.8,521.323608,176.32805,0.5253
645,6.392722,10,1.5,1042.243896,702.089827,0.3878
645,6.392722,12,1.8,472.591309,258.303925,0.7321
646,6.402726,10,1.5,1083.838135,567.292251,0.4726
646,6.402726,12,1.8,474.130096,263.294979,-0.5684
647,6.412435,10,1.5,475.341217,437.084975,0.93
648,6.422144,10,1.5,911.049988,755.377503,-1.0682
648,6.422144,12,1.8,444.447388,315.850286,0.7908
649,6.432301,11,1.65,361.887451,256.649464,0.5206
650,6.442458,11,1.65,324.416351,226.896854,-1.0763
651,6.452615,11,1.65,297.291046,241.018726,-0.4666
652,6.462773,11,1.65,402.364136,316.502138,-0.1233
653,6.472878,11,1.65,353.829132,249.911794,1.0398
654,6.482982,10,1.5,869.983887,754.057696,0.1844
654,6.482982,12,1.8,349.890167,195.779347,-0.1219
655,6.493087,12,1.8,318.280151,212.543124,-0.0297
656,6.503192,11,1.65,293.951996,203.163441,0.3301
661,6.553206,12,1.8,220.503189,191.017528,0.3956
664,6.584681,11,1.65,354.017029,306.281996,0.3419
665,6.595288,11,1.65,446.284943,320.69033,0.2103
666,6.605894,11,1.65,389.138947,347.059367,0.6532
667,6.614945,11,1.65,243.427704,197.621751,-0.3695
670,6.644549,11,1.65,289.672272,268.077307,0.2582
671,6.654826,11,1.65,359.484894,251.948792,0.1192
677,6.715087,11,1.65,367.765625,283.689804,0.2771
678,6.72367,11,1.65,456.326691,267.172814,0.4158
679,6.733949,10,1.5,1362.054443,275.057429,0.4167
680,6.744228,10,1.5,1375.770386,264.908351,0.3374
681,6.754507,10,1.5,1039.52832,231.066093,0.3352
684,6.78436,12,1.8,285.817719,255.654122,0.1826
685,6.794147,12,1.8,348.075531,251.186687,-0.0077
686,6.803935,12,1.8,317.658508,233.25612,0.1953
691,6.854526,11,1.65,268.051758,251.344751,0.0185
692,6.864864,11,1.65,306.718353,211.537569,0.0384
693,6.874467,10,1.5,736.360168,223.115188,0.2337
694,6.884069,10,1.5,863.16095,167.815571,0.1482
695,6.893672,10,1.5,777.637512,119.018357,0.0877
696,6.903274,10,1.5,578.132996,569.119384,0.0235
696,6.903274,12,1.8,225.624435,195.692893,-0.1102
697,6.912696,12,1.8,487.792938,168.020461,0.0676
698,6.922119,13,1.95,199.354782,186.961131,0.4397
699,6.932308,10,1.5,579.117798,499.712432,0.0811
700,6.942498,10,1.5,660.30957,483.907241,0.1242
700,6.942498,13,1.95,257.874237,206.651638,0.331
701,6.952687,10,1.5,771.251404,546.080052,0.1188
701,6.952687,13,1.95,302.3992,244.68907,-0.0607
702,6.962877,10,1.5,793.527405,486.018866,0.0605
702,6.962877,13,1.95,318.875519,189.970111,0.3989
703,6.973293,10,1.5,770.139954,557.074436,0.0306
703,6.973293,13,1.95,289.57077,242.391332,0.104
704,6.98371,10,1.5,856.158325,680.053936,0.0026
704,6.98371,12,1.8,251.279343,235.51961,-0.0205
705,6.994126,10,1.5,939.608459,614.209997,0.0405
705,6.994126,12,1.8,268.7677,212.567208,-0.024
706,7.004543,10,1.5,1015.476929,243.211342,0.0912
707,7.008482,10,1.5,971.249939,274.864783,0.1303
708,7.01242,10,1.5,835.648071,660.307899,0.1424
708,7.01242,12,1.8,223.289185,201.1634,-0.0244
709,7.025733,10,1.5,671.737061,562.024804,0.1065
711,7.052359,11,1.65,158.46312,124.915164,0.025
712,7.065672,10,1.5,438.558441,292.572065,-0.0637
713,7.075391,10,1.5,595.490234,457.118687,0.049
713,7.075391,12,1.8,201.131882,133.638778,0.098
714,7.08511,10,1.5,695.371521,497.756283,0.0939
714,7.08511,12,1.8,247.319656,171.89927,0.2064
715,7.094829,10,1.5,731.153503,607.375018,0.0964
715,7.094829,12,1.8,261.120087,164.558533,0.2545
716,7.104548,10,1.5,743.847717,514.424212,0.066
716,7.104548,13,1.95,299.876404,212.974541,0.4739
717,7.108719,10,1.5,726.142334,517.660408,0.0396
717,7.108719,13,1.95,306.63446,234.340244,-0.1495
718,7.11289,13,1.95,282.204468,237.733911,-0.0614
720,7.138597,13,1.95,254.464233,218.309655,0.0816
721,7.15145,13,1.95,243.424118,220.308413,0.1292
722,7.164303,13,1.95,224.896759,174.313746,0.0573
723,7.172072,13,1.95,203.212509,150.249978,0.2334
